Developer	Title/Application	Product Type Identifier	Units	Partner Share	Partner Share Currency	Customer Price	Customer Currency	Country Code	Apple Identifier	Vendor Identifier
Nic Carter	PocketSword	1	1152	0	USD	0	USD	US	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	69	0	GBP	0	GBP	GB	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	62	0	AUD	0	AUD	AU	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	56	0	CAD	0	CAD	CA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	47	0	USD	0	USD	SG	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	20	0	EUR	0	EUR	DE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	17	0	USD	0	USD	PH	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	14	0	USD	0	USD	HK	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	13	0	USD	0	USD	KR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	11	0	AUD	0	NZD	NZ	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	9	0	EUR	0	EUR	FR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	9	0	JPY	0	JPY	JP	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	8	0	EUR	0	EUR	GR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	EUR	0	EUR	IT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	6	0	USD	0	USD	ZA	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	5	0	EUR	0	SEK	SE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	5	0	USD	0	USD	RU	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	EUR	0	CHF	CH	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	EUR	0	EUR	ES	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	EUR	0	EUR	NL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	USD	0	USD	CN	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	USD	0	USD	IL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	4	0	USD	0	USD	MY	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	EUR	0	EUR	SK	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	ID	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	3	0	USD	0	USD	IN	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	EUR	BE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	EUR	CZ	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	EUR	FI	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	EUR	0	NOK	NO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	USD	0	USD	EG	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	2	0	USD	0	USD	GT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	AT	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	IE	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	PL	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	EUR	0	EUR	RO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	BR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	CO	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	HR	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	KW	341046078	PocketSword.niccarter
Nic Carter	PocketSword	1	1	0	USD	0	USD	PK	341046078	PocketSword.niccarter
